"id_str","uncivil","created_at","text","TOXICITY","SEVERE_TOXICITY","IDENTITY_ATTACK","INSULT","PROFANITY","SEXUALLY_EXPLICIT","THREAT","FLIRTATION","ATTACK_ON_AUTHOR","ATTACK_ON_COMMENTER","INCOHERENT","INFLAMMATORY","LIKELY_TO_REJECT","OBSCENE","SPAM","UNSUBSTANTIAL"
"788148542577664000","no","Mon Oct 17 22:43:50 +0000 2016","@SpeakerRyan @HouseGOP https://t.co/IjPFtSb7Z4",0.12228053,0.16769409,0.12130998,0.117417306,0.15533996,0.1888,0.21974422,0.44172814,0.037555657,0.22429164,0.89032257,0.10510067,0.8585409,0.43612552,0.8253275,0.75075114
"788184620546220032","no","Tue Oct 18 01:07:11 +0000 2016","@MarshaBlackburn @SpeakerRyan https://t.co/pU0n8Qsj7L",0.14840245,0.16385907,0.13848557,0.13487335,0.1611836,0.1866314,0.20327765,0.4173645,0.03486255,0.19139,0.89032257,0.09925297,0.840268,0.42927298,0.8360888,0.76245725
"788381497073934336","yes","Tue Oct 18 14:09:30 +0000 2016","@SpeakerRyan @Reince Are u hearing the ppl yet? Arrogant &amp; prideful. Any1 can C Patriot DT's fighting the good figh… https://t.co/NU2GGvv3iA",0.65436333,0.5044758,0.38871565,0.62948436,0.48584336,0.22509353,0.27537045,0.41457087,0.022762284,0.49368113,0.9329897,0.41275278,0.92309314,0.585443,0.75917757,0.63147867
"788402017219870720","no","Tue Oct 18 15:31:03 +0000 2016","@TGowdySC @jasoninthehouse @realDonaldTrump @FoxNews 
@TeamTrump @oreillyfactor #Veritas
#PodestaEmails10… https://t.co/qAVjD29tD2",0.27818498,0.33481827,0.2853726,0.27356562,0.27025884,0.22704361,0.37034553,0.4835084,0.006113416,0.05371973,0.90866435,0.07276685,0.948278,0.2980088,0.8585844,0.6844461
"788415220058173440","no","Tue Oct 18 16:23:31 +0000 2016","@SenJohnMcCain Is Running Scared, So Is His Party https://t.co/sA0pRME9e5 Given your unwillingness to vote on POTUS SCOTUS nominees. #Retire",0.26219103,0.10227555,0.14279959,0.20078541,0.11290987,0.10897703,0.21571267,0.29071742,0.010846076,0.38451657,0.5734071,0.18141168,0.6822363,0.027953636,0.11072127,0.5851998
"788420029091975168","yes","Tue Oct 18 16:42:37 +0000 2016","@SenToomey Thanks for speaking against ""rigged"" claims. It matters. Will you go farther, and speak explicitly against voter intimidation?",0.1464157,0.040231273,0.12708668,0.09627486,0.06503941,0.08032543,0.20850596,0.29716438,0.014441229,0.63130796,0.13193552,0.10434108,0.24716388,0.0016322769,0.013360699,0.23527752
"788425053402640384","no","Tue Oct 18 17:02:35 +0000 2016","@ChuckGrassley #chuckobstruction",0.5123465,0.5041837,0.39287755,0.4443809,0.44615817,0.23546557,0.2493359,0.30298972,0.020736258,0.22674987,0.7046485,0.11020215,0.82158226,0.12532875,0.11893235,0.83188
"788444811992764416","yes","Tue Oct 18 18:21:06 +0000 2016","@SpeakerRyan @GovChristie @rudygiulianiGOP @marcorubio @jameslankford @TGowdySC @jasoninthehouse @JamesComeyFBI ANY… https://t.co/3hKWBU47p7",0.16202301,0.19498068,0.15394963,0.12403527,0.1633686,0.17138633,0.24374437,0.4500146,0.013878508,0.09096116,0.8488462,0.111605786,0.948278,0.585443,0.903214,0.6478414
"788702747134726144","yes","Wed Oct 19 11:26:02 +0000 2016","@janschakowsky Go Jan Go!!! Go Bob Go!!!
#DrainTheSwamp #crooked_hillary #okeefe #wikileaks https://t.co/EemrQ1JH3t",0.32219714,0.24290334,0.15574035,0.16196154,0.15627311,0.123652905,0.14526995,0.21146302,0.028999768,0.07068392,0.9375,0.17042655,0.9215016,0.585443,0.8253275,0.6665831
"788721099701760000","no","Wed Oct 19 12:38:58 +0000 2016","@SpeakerRyan they are getting ready to give you the boot. You know that don't you?",0.24533175,0.120157726,0.13364089,0.1638159,0.17476508,0.25382283,0.276192,0.4517442,0.07723079,0.9681729,0.39457682,0.42527056,0.9203619,0.104747064,0.01370538,0.6656904
